Age,Salary,Joining Designation,Designation,Total Business Value,Quarterly Rating,retention_days,promoted,GenderBin,Education_Level_Bachelor,Education_Level_College,Education_Level_Master,attrition
30,102077,1,3,574040,4,763.0,1,0,1,0,0,0
30,102077,1,3,2109420,4,794.0,1,0,1,0,0,0
30,102077,1,3,2973000,4,825.0,1,0,1,0,0,0
30,102077,1,3,3053510,4,853.0,1,0,1,0,0,0
30,102077,1,3,-414250,3,884.0,1,0,1,0,0,0
30,102077,1,3,350000,3,914.0,1,0,1,0,0,0
30,102077,1,3,1219340,3,945.0,1,0,1,0,0,0
30,102077,1,3,650000,4,975.0,1,0,1,0,0,0
30,102077,1,3,1512060,4,1006.0,1,0,1,0,0,0
30,102077,1,3,1368060,4,1037.0,1,0,1,0,0,0
30,102077,1,3,1346140,4,1067.0,1,0,1,0,0,0
31,102077,1,3,1680680,4,1098.0,1,0,1,0,0,0
31,102077,1,3,2013180,4,1128.0,1,0,1,0,0,0
41,121529,1,3,243110,4,239.0,1,0,0,0,1,0
41,121529,1,3,646330,4,270.0,1,0,0,0,1,0
41,121529,1,3,17651940,4,299.0,1,0,0,0,1,0
41,121529,1,3,242510,4,330.0,1,0,0,0,1,0
41,121529,1,3,1098080,4,360.0,1,0,0,0,1,0
41,121529,1,3,1212720,4,391.0,1,0,0,0,1,0
41,121529,1,3,2695910,4,421.0,1,0,0,0,1,0
41,121529,1,3,494710,4,452.0,1,0,0,0,1,0
42,121529,1,3,986540,4,483.0,1,0,0,0,1,0
42,121529,1,3,9950710,4,513.0,1,0,0,0,1,0
42,121529,1,3,13097320,4,544.0,1,0,0,0,1,0
42,121529,1,3,1086370,4,574.0,1,0,0,0,1,0
42,121529,1,3,732410,2,605.0,1,0,0,0,1,0
42,121529,1,3,1511840,2,636.0,1,0,0,0,1,0
42,132577,1,4,9226690,4,664.0,1,0,0,0,1,0
42,132577,1,4,1940050,2,695.0,1,0,0,0,1,0
42,132577,1,4,970030,2,725.0,1,0,0,0,1,0
42,132577,1,4,0,2,756.0,1,0,0,0,1,0
42,132577,1,4,153590,2,786.0,1,0,0,0,1,0
42,132577,1,4,1710410,2,817.0,1,0,0,0,1,0
43,132577,1,4,440550,2,848.0,1,0,0,0,1,0
43,132577,1,4,744590,2,878.0,1,0,0,0,1,0
43,132577,1,4,1578270,2,909.0,1,0,0,0,1,0
43,132577,1,4,1453220,2,939.0,1,0,0,0,1,0
30,30312,1,1,231840,2,226.0,0,0,0,0,1,0
30,30312,1,1,278930,2,257.0,0,0,0,0,1,0
30,30312,1,1,650990,2,286.0,0,0,0,0,1,0
30,30312,1,1,111410,1,317.0,0,0,0,0,1,0
30,30312,1,1,0,1,347.0,0,0,0,0,1,1
31,69457,3,3,0,1,29.0,0,0,1,0,0,0
31,69457,3,3,0,1,59.0,0,0,1,0,0,1
32,65189,3,3,0,1,28.0,0,1,0,0,1,0
32,65189,3,3,0,1,59.0,0,1,0,0,1,0
32,65189,3,3,0,2,89.0,0,1,0,0,1,0
32,65189,3,3,0,2,120.0,0,1,0,0,1,0
32,65189,3,3,950940,2,150.0,0,1,0,0,1,0
28,65813,2,2,285830,2,1.0,0,1,1,0,0,0
28,65813,2,2,190180,2,32.0,0,1,1,0,0,0
28,65813,2,2,0,1,62.0,0,1,1,0,0,0
28,65813,2,2,0,1,93.0,0,1,1,0,0,1
32,68070,3,3,0,1,25.0,0,0,1,0,0,0
32,68070,3,3,0,1,55.0,0,0,1,0,0,1
40,32865,2,2,0,2,0.0,0,1,1,0,0,0
40,32865,2,2,0,2,31.0,0,1,1,0,0,0
40,32865,2,2,722390,2,62.0,0,1,1,0,0,0
40,32865,2,2,821020,2,92.0,0,1,1,0,0,0
40,32865,2,2,-19350,2,123.0,0,1,1,0,0,0
40,32865,2,2,145400,2,153.0,0,1,1,0,0,0
40,32865,2,2,0,1,184.0,0,1,1,0,0,0
40,32865,2,2,400000,1,215.0,0,1,1,0,0,0
40,32865,2,2,-50000,1,243.0,0,1,1,0,0,0
40,32865,2,2,1460000,3,274.0,0,1,1,0,0,0
40,32865,2,2,0,3,304.0,0,1,1,0,0,0
41,32865,2,2,139080,3,335.0,0,1,1,0,0,0
41,32865,2,2,984330,2,365.0,0,1,1,0,0,0
41,32865,2,2,-325140,2,396.0,0,1,1,0,0,1
33,57375,2,2,300000,1,16.0,0,1,1,0,0,0
33,57375,2,2,350020,1,46.0,0,1,1,0,0,0
33,57375,2,2,0,1,77.0,0,1,1,0,0,0
33,57375,2,2,0,1,108.0,0,1,1,0,0,0
33,57375,2,2,0,1,138.0,0,1,1,0,0,1
22,13427,1,1,0,1,26.0,0,0,0,1,0,0
22,13427,1,1,155610,1,57.0,0,0,0,1,0,0
22,13427,1,1,-155610,1,85.0,0,0,0,1,0,1
32,72888,2,2,554010,3,24.0,0,0,0,1,0,0
32,72888,2,2,600440,2,54.0,0,0,0,1,0,0
32,72888,2,2,150470,2,85.0,0,0,0,1,0,0
32,72888,2,2,150970,2,115.0,0,0,0,1,0,0
32,59182,2,2,0,1,23.0,0,0,0,1,0,0
32,59182,2,2,0,1,54.0,0,0,0,1,0,0
32,59182,2,2,0,1,85.0,0,0,0,1,0,1
33,92372,4,4,0,1,28.0,0,0,0,0,1,0
33,92372,4,4,1061060,1,59.0,0,0,0,0,1,0
33,92372,4,4,1357440,3,89.0,0,0,0,0,1,0
33,92372,4,4,1000000,3,120.0,0,0,0,0,1,0
34,92372,4,4,2240810,3,150.0,0,0,0,0,1,0
34,92372,4,4,1002760,3,181.0,0,0,0,0,1,0
34,92372,4,4,2600330,3,212.0,0,0,0,0,1,0
34,92372,4,4,6718850,3,240.0,0,0,0,0,1,0
34,92372,4,4,0,2,271.0,0,0,0,0,1,0
34,92372,4,4,811400,2,301.0,0,0,0,0,1,0
34,92372,4,4,1071890,2,332.0,0,0,0,0,1,0
34,92372,4,4,1358260,1,362.0,0,0,0,0,1,0
34,92372,4,4,306820,1,393.0,0,0,0,0,1,0
34,92372,4,4,0,1,424.0,0,0,0,0,1,0
34,92372,4,4,775520,2,454.0,0,0,0,0,1,0
34,92372,4,4,180770,2,485.0,0,0,0,0,1,0
35,92372,4,4,1270000,2,515.0,0,0,0,0,1,0
44,45988,2,2,147900,1,73.0,0,1,0,1,0,0
44,45988,2,2,189020,1,104.0,0,1,0,1,0,0
44,45988,2,2,657770,1,133.0,0,1,0,1,0,0
44,45988,2,2,0,1,164.0,0,1,0,1,0,0
44,45988,2,2,0,1,194.0,0,1,0,1,0,1
27,12906,1,1,359890,1,172.0,0,1,0,1,0,0
27,12906,1,1,0,1,203.0,0,1,0,1,0,1
28,62100,1,1,150110,1,6.0,0,0,0,0,1,0
28,62100,1,1,0,1,37.0,0,0,0,0,1,1
35,77544,3,3,0,1,3.0,0,0,0,0,1,0
35,77544,3,3,1262040,3,33.0,0,0,0,0,1,0
35,77544,3,3,1202980,3,64.0,0,0,0,0,1,0
35,77544,3,3,-58440,3,95.0,0,0,0,0,1,0
35,77544,3,3,964680,3,125.0,0,0,0,0,1,0
35,77544,3,3,334320,3,156.0,0,0,0,0,1,0
35,77544,3,3,1521760,3,186.0,0,0,0,0,1,0
36,42171,1,1,231860,1,65.0,0,1,0,0,1,0
36,42171,1,1,106430,1,96.0,0,1,0,0,1,0
36,42171,1,1,0,1,125.0,0,1,0,0,1,1
30,28000,1,1,484060,2,23.0,0,0,1,0,0,0
30,28000,1,1,382210,2,53.0,0,0,1,0,0,0
21,53039,1,2,171760,1,221.0,1,0,0,1,0,0
21,53039,1,2,0,1,252.0,1,0,0,1,0,0
21,53039,1,2,392890,1,281.0,1,0,0,1,0,0
21,53039,1,2,106160,1,312.0,1,0,0,1,0,0
21,53039,1,2,124190,1,342.0,1,0,0,1,0,0
21,53039,1,2,0,1,373.0,1,0,0,1,0,0
21,53039,1,2,503500,2,403.0,1,0,0,1,0,0
21,53039,1,2,300300,2,434.0,1,0,0,1,0,0
21,53039,1,2,0,2,465.0,1,0,0,1,0,0
21,53039,1,2,0,1,495.0,1,0,0,1,0,0
21,53039,1,2,0,1,526.0,1,0,0,1,0,0
21,53039,1,2,200000,1,556.0,1,0,0,1,0,0
22,53039,1,2,0,1,587.0,1,0,0,1,0,1
49,89367,3,3,110310,1,42.0,0,1,0,1,0,0
49,89367,3,3,0,1,73.0,0,1,0,1,0,1
33,131347,4,4,0,1,589.0,0,0,0,1,0,0
33,131347,4,4,0,1,620.0,0,0,0,1,0,0
33,131347,4,4,0,1,649.0,0,0,0,1,0,0
33,131347,4,4,0,1,741.0,0,0,0,1,0,0
33,131347,4,4,200000,2,771.0,0,0,0,1,0,0
33,131347,4,4,845500,2,802.0,0,0,0,1,0,0
33,131347,4,4,742500,2,833.0,0,0,0,1,0,0
33,131347,4,4,250000,2,863.0,0,0,0,1,0,0
34,131347,4,4,570000,2,894.0,0,0,0,1,0,0
34,131347,4,4,582010,2,924.0,0,0,0,1,0,1
36,48687,3,3,0,1,3.0,0,0,0,1,0,0
36,48687,3,3,0,1,34.0,0,0,0,1,0,0
36,48687,3,3,493300,1,65.0,0,0,0,1,0,0
37,48687,3,3,502020,2,95.0,0,0,0,1,0,0
37,48687,3,3,556710,2,126.0,0,0,0,1,0,0
37,48687,3,3,300560,2,156.0,0,0,0,1,0,0
33,117993,4,4,0,2,21.0,0,0,1,0,0,0
33,117993,4,4,2000000,2,52.0,0,0,1,0,0,0
33,117993,4,4,0,3,82.0,0,0,1,0,0,0
33,117993,4,4,1950000,3,113.0,0,0,1,0,0,0
34,117993,4,4,1455010,3,143.0,0,0,1,0,0,0
34,117993,4,4,3398000,4,174.0,0,0,1,0,0,0
34,117993,4,4,6062470,4,205.0,0,0,1,0,0,0
34,117993,4,4,14620880,4,233.0,0,0,1,0,0,0
34,117993,4,4,0,2,264.0,0,0,1,0,0,0
34,117993,4,4,1380000,2,294.0,0,0,1,0,0,0
34,127826,4,5,1449260,3,325.0,1,0,1,0,0,0
34,127826,4,5,193240,1,355.0,1,0,1,0,0,0
34,127826,4,5,350000,1,386.0,1,0,1,0,0,0
34,127826,4,5,0,1,417.0,1,0,1,0,0,0
34,127826,4,5,0,1,447.0,1,0,1,0,0,0
34,127826,4,5,0,1,478.0,1,0,1,0,0,0
35,127826,4,5,964430,1,508.0,1,0,1,0,0,0
30,29985,1,1,0,1,10.0,0,1,0,1,0,0
30,29985,1,1,0,1,41.0,0,1,0,1,0,0
30,29985,1,1,0,1,72.0,0,1,0,1,0,0
30,29985,1,1,0,1,100.0,0,1,0,1,0,1
34,80223,1,1,402040,3,165.0,0,1,0,0,1,0
34,80223,1,1,358980,3,196.0,0,1,0,0,1,0
34,80223,1,1,1111110,3,225.0,0,1,0,0,1,0
34,80223,1,1,0,2,256.0,0,1,0,0,1,0
34,80223,1,1,428450,2,286.0,0,1,0,0,1,0
34,80223,1,1,0,2,317.0,0,1,0,0,1,0
34,80223,1,1,717580,4,347.0,0,1,0,0,1,0
34,80223,1,1,500000,4,378.0,0,1,0,0,1,0
35,80223,1,1,936760,4,409.0,0,1,0,0,1,0
35,80223,1,1,1125300,3,439.0,0,1,0,0,1,0
35,80223,1,1,500000,3,470.0,0,1,0,0,1,0
35,80223,1,1,0,3,500.0,0,1,0,0,1,0
35,80223,1,1,156710,2,531.0,0,1,0,0,1,0
35,80223,1,1,0,2,562.0,0,1,0,0,1,0
35,80223,1,1,1198140,2,590.0,0,1,0,0,1,0
35,80223,1,1,0,3,621.0,0,1,0,0,1,0
35,80223,1,1,438580,3,651.0,0,1,0,0,1,0
35,80223,1,1,838040,3,682.0,0,1,0,0,1,0
35,80223,1,1,504690,2,712.0,0,1,0,0,1,0
35,80223,1,1,300960,2,743.0,0,1,0,0,1,0
36,80223,1,1,0,2,774.0,0,1,0,0,1,0
36,80223,1,1,1490080,4,804.0,0,1,0,0,1,0
36,80223,1,1,257330,4,835.0,0,1,0,0,1,0
36,80223,1,1,458720,4,865.0,0,1,0,0,1,0
36,84318,1,2,414260,3,524.0,1,1,1,0,0,0
36,84318,1,2,1322870,3,555.0,1,1,1,0,0,0
36,84318,1,2,1000380,3,584.0,1,1,1,0,0,0
37,84318,1,2,676920,2,615.0,1,1,1,0,0,0
37,84318,1,2,-157620,2,645.0,1,1,1,0,0,0
37,84318,1,2,150350,2,676.0,1,1,1,0,0,0
37,84318,1,2,250000,3,706.0,1,1,1,0,0,0
37,84318,1,2,719670,3,737.0,1,1,1,0,0,0
37,84318,1,2,573350,3,768.0,1,1,1,0,0,0
37,84318,1,2,419100,4,798.0,1,1,1,0,0,0
37,84318,1,2,741970,4,829.0,1,1,1,0,0,0
37,84318,1,2,7612390,4,859.0,1,1,1,0,0,0
37,84318,1,2,3636360,3,890.0,1,1,1,0,0,0
37,84318,1,2,350670,3,921.0,1,1,1,0,0,0
37,84318,1,2,983560,3,949.0,1,1,1,0,0,0
38,84318,1,2,1001040,4,980.0,1,1,1,0,0,0
38,84318,1,2,500000,4,1010.0,1,1,1,0,0,0
38,84318,1,2,2596040,4,1041.0,1,1,1,0,0,0
38,84318,1,2,0,1,1071.0,1,1,1,0,0,1
41,57987,2,2,0,1,78.0,0,0,0,1,0,1
35,31644,1,1,134660,1,26.0,0,1,1,0,0,0
35,31644,1,1,0,1,55.0,0,1,1,0,0,1
46,82126,1,3,913700,4,836.0,1,1,0,1,0,0
46,82126,1,3,1435000,4,867.0,1,1,0,1,0,0
46,82126,1,3,7799990,4,896.0,1,1,0,1,0,0
46,82126,1,3,999000,3,927.0,1,1,0,1,0,0
46,82126,1,3,250000,3,957.0,1,1,0,1,0,0
46,82126,1,3,500000,3,988.0,1,1,0,1,0,0
46,82126,1,3,750000,3,1018.0,1,1,0,1,0,0
46,82126,1,3,2000000,3,1049.0,1,1,0,1,0,0
46,82126,1,3,250000,3,1080.0,1,1,0,1,0,0
46,82126,1,3,2749900,4,1110.0,1,1,0,1,0,0
46,82126,1,3,500000,4,1141.0,1,1,0,1,0,0
47,82126,1,3,999800,4,1171.0,1,1,0,1,0,0
47,82126,1,3,2099900,4,1202.0,1,1,0,1,0,0
47,82126,1,3,5623520,4,1233.0,1,1,0,1,0,0
47,82126,1,3,7195460,4,1261.0,1,1,0,1,0,0
47,82126,1,3,246000,4,1292.0,1,1,0,1,0,0
47,82126,1,3,2669370,4,1322.0,1,1,0,1,0,0
47,82126,1,3,499900,4,1353.0,1,1,0,1,0,0
47,89592,1,4,2887190,4,1383.0,1,1,0,1,0,0
47,89592,1,4,2791550,4,1414.0,1,1,0,1,0,0
47,89592,1,4,1394550,4,1445.0,1,1,0,1,0,0
47,89592,1,4,1153070,2,1475.0,1,1,0,1,0,0
47,89592,1,4,1767620,2,1506.0,1,1,0,1,0,0
48,89592,1,4,1750000,2,1536.0,1,1,0,1,0,0
32,19818,1,1,0,1,242.0,0,0,0,0,1,0
32,19818,1,1,-439300,1,273.0,0,0,0,0,1,0
32,19818,1,1,0,1,302.0,0,0,0,0,1,1
27,62376,1,1,0,1,3.0,0,0,0,0,1,0
26,93931,1,3,293250,1,976.0,1,0,0,1,0,0
26,93931,1,3,389680,1,1007.0,1,0,0,1,0,0
26,93931,1,3,465950,1,1036.0,1,0,0,1,0,0
26,93931,1,3,50000,2,1067.0,1,0,0,1,0,0
26,93931,1,3,366420,2,1097.0,1,0,0,1,0,0
26,93931,1,3,260000,2,1128.0,1,0,0,1,0,0
26,93931,1,3,383810,1,1158.0,1,0,0,1,0,0
26,93931,1,3,151500,1,1189.0,1,0,0,1,0,0
26,93931,1,3,152630,1,1220.0,1,0,0,1,0,0
26,93931,1,3,338940,2,1250.0,1,0,0,1,0,0
26,93931,1,3,200000,2,1281.0,1,0,0,1,0,0
27,93931,1,3,445760,2,1311.0,1,0,0,1,0,0
27,93931,1,3,1054160,2,1342.0,1,0,0,1,0,0
27,93931,1,3,2330040,2,1373.0,1,0,0,1,0,0
27,93931,1,3,666220,2,1401.0,1,0,0,1,0,0
27,93931,1,3,567120,2,1432.0,1,0,0,1,0,0
27,93931,1,3,404740,2,1462.0,1,0,0,1,0,0
27,93931,1,3,153700,2,1493.0,1,0,0,1,0,0
27,93931,1,3,1114340,3,1523.0,1,0,0,1,0,0
27,93931,1,3,399890,3,1554.0,1,0,0,1,0,0
27,93931,1,3,456330,3,1585.0,1,0,0,1,0,0
27,93931,1,3,900190,2,1615.0,1,0,0,1,0,0
27,93931,1,3,425080,2,1646.0,1,0,0,1,0,0
28,93931,1,3,323370,2,1676.0,1,0,0,1,0,0
33,66502,2,2,0,1,1.0,0,0,0,0,1,0
33,66502,2,2,193940,1,29.0,0,0,0,0,1,0
33,66502,2,2,0,1,60.0,0,0,0,0,1,0
33,66502,2,2,0,1,90.0,0,0,0,0,1,0
33,66502,2,2,0,1,121.0,0,0,0,0,1,1
28,69539,2,2,0,2,154.0,0,1,1,0,0,0
28,69539,2,2,1214440,2,185.0,0,1,1,0,0,0
28,69539,2,2,1183230,2,214.0,0,1,1,0,0,0
29,69539,2,2,187650,3,245.0,0,1,1,0,0,0
29,69539,2,2,382150,3,275.0,0,1,1,0,0,0
29,69539,2,2,607640,3,306.0,0,1,1,0,0,0
29,69539,2,2,120030,2,336.0,0,1,1,0,0,0
29,69539,2,2,214800,2,367.0,0,1,1,0,0,0
29,69539,2,2,968480,2,398.0,0,1,1,0,0,0
29,69539,2,2,966960,3,428.0,0,1,1,0,0,0
29,69539,2,2,968580,3,459.0,0,1,1,0,0,0
29,69539,2,2,618680,3,489.0,0,1,1,0,0,0
29,69539,2,2,579560,3,520.0,0,1,1,0,0,0
29,69539,2,2,1553740,3,551.0,0,1,1,0,0,0
29,69539,2,2,1417930,3,579.0,0,1,1,0,0,0
30,69539,2,2,520630,2,610.0,0,1,1,0,0,0
30,69539,2,2,214080,2,640.0,0,1,1,0,0,0
30,69539,2,2,0,2,671.0,0,1,1,0,0,1
27,104286,3,3,0,1,11.0,0,1,0,0,1,0
39,65982,1,2,217090,2,28.0,1,0,0,0,1,0
39,65982,1,2,1547380,2,57.0,1,0,0,0,1,0
39,65982,1,2,0,3,88.0,1,0,0,0,1,0
39,65982,1,2,104040,3,118.0,1,0,0,0,1,0
39,65982,1,2,746440,3,149.0,1,0,0,0,1,0
39,65982,1,2,594170,2,179.0,1,0,0,0,1,0
40,65982,1,2,293770,2,210.0,1,0,0,0,1,0
40,65982,1,2,100000,2,241.0,1,0,0,0,1,0
40,65982,1,2,0,1,271.0,1,0,0,0,1,0
40,65982,1,2,394520,1,302.0,1,0,0,0,1,0
40,65982,1,2,125040,1,332.0,1,0,0,0,1,0
40,65982,1,2,764900,3,363.0,1,0,0,0,1,0
40,65982,1,2,0,3,394.0,1,0,0,0,1,0
40,65982,1,2,2620440,3,422.0,1,0,0,0,1,0
40,65982,1,2,882130,3,453.0,1,0,0,0,1,0
40,65982,1,2,594970,3,483.0,1,0,0,0,1,0
40,65982,1,2,527970,3,514.0,1,0,0,0,1,0
40,65982,1,2,772700,3,544.0,1,0,0,0,1,0
41,65982,1,2,302460,3,575.0,1,0,0,0,1,0
41,65982,1,2,697080,3,606.0,1,0,0,0,1,0
41,65982,1,2,407640,3,636.0,1,0,0,0,1,0
41,65982,1,2,0,3,667.0,1,0,0,0,1,0
41,65982,1,2,850760,3,697.0,1,0,0,0,1,0
30,79288,1,3,2026230,3,1170.0,1,0,0,1,0,0
30,79288,1,3,1456620,3,1201.0,1,0,0,1,0,0
30,79288,1,3,2491020,3,1230.0,1,0,0,1,0,0
31,79288,1,3,321370,3,1261.0,1,0,0,1,0,0
31,79288,1,3,609240,3,1291.0,1,0,0,1,0,0
31,79288,1,3,387140,3,1322.0,1,0,0,1,0,0
31,79288,1,3,407110,3,1352.0,1,0,0,1,0,0
31,79288,1,3,544930,3,1383.0,1,0,0,1,0,0
31,79288,1,3,2418770,3,1414.0,1,0,0,1,0,0
31,79288,1,3,1166090,3,1444.0,1,0,0,1,0,0
31,79288,1,3,566930,3,1475.0,1,0,0,1,0,0
31,79288,1,3,916300,3,1505.0,1,0,0,1,0,0
31,79288,1,3,1201650,3,1536.0,1,0,0,1,0,0
31,79288,1,3,752270,3,1567.0,1,0,0,1,0,0
31,79288,1,3,3943140,3,1595.0,1,0,0,1,0,0
32,79288,1,3,868960,4,1626.0,1,0,0,1,0,0
32,79288,1,3,574820,4,1656.0,1,0,0,1,0,0
32,79288,1,3,703610,4,1687.0,1,0,0,1,0,0
32,79288,1,3,1315620,4,1717.0,1,0,0,1,0,0
32,79288,1,3,457720,4,1748.0,1,0,0,1,0,0
32,79288,1,3,1400020,4,1779.0,1,0,0,1,0,0
32,79288,1,3,957710,3,1809.0,1,0,0,1,0,0
